id,piece_name,category,era_or_year,materials_gemstones,price_type,sold_price,estimate_low,estimate_high,currency_note,sale_date,auction_house,sale_name,lot_number,listing_url,notes,source,first_captured
meta:sotheby's||2023-06-14|gold and diamond necklace,Gold and Diamond Necklace,necklace,,,hammer,19050,15000,20000,USD,2023-06-14,Sotheby's,N11264,,,"The graduated fringed links composed of gold tendrils, accented to the front by round and single-cut diamonds. Diamonds weighing a total of approximately 3.65 caratsLength 15½ inchesSigned Webb18 karat gold and platinumCirca 1970Gross weight approximately 78 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2025-06-16|gold cuff-bracelet and pair of earclips,Gold Cuff-Bracelet and Pair of Earclips,bracelet,,,hammer,19050,12000,18000,USD,2025-06-16,Sotheby's,N11809,,,"Composed of ribbed hammered gold, the cuff-bracelet featuring spiral motif terminals. Bracelet internal circumference 7¼ inches, earclip length 1½ inchesCuff-bracelet signed Webb, earclips unsigned18 karat goldTotal gross weight approximately 122 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2025-12-11|gold and lapis lazuli ring,Gold and Lapis Lazuli Ring,ring,,,hammer,19050,4000,6000,USD,2025-12-11,Sotheby's,N11817,,,"The ring composed of hammered gold, featuring a lapis lazuli cabochon. Size 4½Signed Webb18 karat goldAccompanied by a signed pouch — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2023-12-07|diamond clip-brooch and gold and diamond jacket,Diamond Clip-Brooch and Gold and Diamond Jacket,brooch,,,hammer,19050,15000,20000,USD,2023-12-07,Sotheby's,N11268,,,"Of scrolling design, set with marquise-shaped, round and baguette diamonds, with a detachable beaded textured gold jacket set with round diamonds. Diamonds weighing a total of approximately 15.85 caratsDimensions 2 x 2 inchesSigned David Webb, numbered NA 96Platinum and 18 karat goldAccompanied by a Certificate of Authenticity — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2023-09-12|gold and diamond ring,Gold and Diamond Ring,ring,,,hammer,19050,15000,20000,USD,2023-09-12,Sotheby's,N11266,,,"Of domed design, the sides with a gold lattice design, set with round diamonds. Diamonds weighing a total of approximately 11.70 caratsSize 5¼Signed Webb18 karat gold and platinumGross weight approximately 18 dwts — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2022-03-09|pair of cultured pearl, coral and enamel earclips","Pair of Cultured Pearl, Coral and Enamel Earclips",earrings,,,hammer,18900,15000,20000,USD,2022-03-09,Sotheby's,N11069,,,"The surmounts set with two semi-baroque cultured pearls within black enameled frames, suspending carved corals centering drop-shaped cultured pearls. Length 2⅜ inchesSigned Webb18 karat goldPlease note this property cannot be shipped internationally due to endangered species materials — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2021-05-18|gold and diamond necklace,Gold and Diamond Necklace,necklace,,,hammer,18900,8000,12000,USD,2021-05-18,Sotheby's,N10858,,,"Featuring a hexagon set with two rows of round diamonds, suspended from a curb link chain. Diamonds weighing a total of approximately 2.55 caratsLength 27 inches, detachable into four sections for variety of wearSigned David Webb18 karat gold and platinumGross weight approximately 100 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2021-05-18|enamel, turquoise and diamond ring","Enamel, Turquoise and Diamond Ring",ring,,,hammer,18900,7000,9000,USD,2021-05-18,Sotheby's,N10858,,,"Featuring a row of three turquoise cabochons, bordered by round diamonds, the mounting applied with black enamel. Diamonds weighing a total of approximately 1.50 caratsSize 6¾Signed David Webb18 karat gold and platinum — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2020-10-22|david webb | pair of rock crystal and diamond pendant-earclips,David Webb | Pair of Rock Crystal and Diamond Pendant-Earclips,necklace,,,hammer,18900,10000,12000,USD,2020-10-22,Sotheby's,N10443,,,"Property of a New York Collector David Webb Pair of Rock Crystal and Diamond Pendant-Earclips Of drop design, the tops and pendants set with pear-shaped rock crystals, accented with round diamonds, signed Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2021-05-18|pair of gold, turquoise, enamel and diamond earclips","Pair of Gold, Turquoise, Enamel and Diamond Earclips",earrings,,,hammer,18900,8000,12000,USD,2021-05-18,Sotheby's,N10858,,,"Featuring four turquoise cabochons, within black enamel and gold frames, accented by round diamonds. Diamonds weighing a total of approximately 0.75 caratLength 2⅛ inchesSigned David Webb18 karat gold and platinumGross weight approximately 32 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
